,Country,Province,City,AllOrToday,confirm,suspect,dead,heal
0,中国,,,All,17238,0,361,485
1,中国,,,Today,2751,0,57,64
2,中国,湖北,,All,11177,0,350,295
3,中国,湖北,,Today,2103,0,56,26
4,中国,湖北,武汉,All,5142,0,265,181
5,中国,湖北,武汉,Today,1033,0,41,0
6,中国,湖北,黄冈,All,1246,0,17,27
7,中国,湖北,黄冈,Today,244,0,2,0
8,中国,湖北,孝感,All,918,0,14,2
9,中国,湖北,孝感,Today,169,0,0,0
10,中国,湖北,襄阳,All,548,0,0,0
11,中国,湖北,襄阳,Today,107,0,0,0
12,中国,湖北,荆州,All,499,0,6,1
13,中国,湖北,荆州,Today,166,0,2,0
14,中国,湖北,随州,All,458,0,5,3
15,中国,湖北,随州,Today,74,0,2,0
16,中国,湖北,宜昌,All,392,0,1,0
17,中国,湖北,宜昌,Today,39,0,0,0
18,中国,湖北,荆门,All,345,0,11,3
19,中国,湖北,荆门,Today,16,0,4,0
20,中国,湖北,黄石,All,334,0,2,8
21,中国,湖北,黄石,Today,82,0,0,0
22,中国,湖北,鄂州,All,306,0,15,0
23,中国,湖北,鄂州,Today,28,0,2,0
24,中国,湖北,咸宁,All,296,0,0,1
25,中国,湖北,咸宁,Today,50,0,0,0
26,中国,湖北,十堰,All,256,0,0,1
27,中国,湖北,十堰,Today,44,0,0,0
28,中国,湖北,仙桃,All,169,0,3,0
29,中国,湖北,仙桃,Today,29,0,0,0
30,中国,湖北,天门,All,115,0,10,0
31,中国,湖北,天门,Today,16,0,3,0
32,中国,湖北,恩施州,All,111,0,0,4
33,中国,湖北,恩施州,Today,6,0,0,0
34,中国,湖北,潜江,All,35,0,1,0
35,中国,湖北,潜江,Today,0,0,0,0
36,中国,湖北,神农架,All,7,0,0,2
37,中国,湖北,神农架,Today,0,0,0,0
38,中国,湖北,地区待确认,All,0,0,0,62
39,中国,湖北,地区待确认,Today,0,0,0,26
40,中国,浙江,,All,724,0,0,40
41,中国,浙江,,Today,63,0,0,17
42,中国,浙江,温州,All,291,0,0,16
43,中国,浙江,温州,Today,26,0,0,6
44,中国,浙江,杭州,All,118,0,0,2
45,中国,浙江,杭州,Today,8,0,0,0
46,中国,浙江,台州,All,109,0,0,10
47,中国,浙江,台州,Today,9,0,0,6
48,中国,浙江,宁波,All,75,0,0,1
49,中国,浙江,宁波,Today,9,0,0,0
50,中国,浙江,金华,All,36,0,0,6
51,中国,浙江,金华,Today,2,0,0,3
52,中国,浙江,绍兴,All,30,0,0,2
53,中国,浙江,绍兴,Today,3,0,0,1
54,中国,浙江,嘉兴,All,19,0,0,0
55,中国,浙江,嘉兴,Today,0,0,0,0
56,中国,浙江,丽水,All,16,0,0,1
57,中国,浙江,丽水,Today,2,0,0,0
58,中国,浙江,衢州,All,14,0,0,0
59,中国,浙江,衢州,Today,1,0,0,0
60,中国,浙江,湖州,All,9,0,0,0
61,中国,浙江,湖州,Today,3,0,0,0
62,中国,浙江,舟山,All,7,0,0,2
63,中国,浙江,舟山,Today,0,0,0,1
64,中国,广东,,All,683,0,0,14
65,中国,广东,,Today,51,0,0,2
66,中国,广东,深圳,All,226,0,0,5
67,中国,广东,深圳,Today,19,0,0,0
68,中国,广东,广州,All,189,0,0,1
69,中国,广东,广州,Today,10,0,0,0
70,中国,广东,珠海,All,51,0,0,1
71,中国,广东,珠海,Today,4,0,0,0
72,中国,广东,佛山,All,43,0,0,1
73,中国,广东,佛山,Today,0,0,0,0
74,中国,广东,东莞,All,31,0,0,0
75,中国,广东,东莞,Today,4,0,0,0
76,中国,广东,惠州,All,28,0,0,1
77,中国,广东,惠州,Today,5,0,0,0
78,中国,广东,中山,All,25,0,0,0
79,中国,广东,中山,Today,4,0,0,0
80,中国,广东,汕头,All,17,0,0,0
81,中国,广东,汕头,Today,2,0,0,0
82,中国,广东,湛江,All,14,0,0,1
83,中国,广东,湛江,Today,0,0,0,0
84,中国,广东,阳江,All,10,0,0,0
85,中国,广东,阳江,Today,0,0,0,0
86,中国,广东,梅州,All,7,0,0,0
87,中国,广东,梅州,Today,0,0,0,0
88,中国,广东,肇庆,All,7,0,0,1
89,中国,广东,肇庆,Today,0,0,0,0
90,中国,广东,揭阳,All,6,0,0,0
91,中国,广东,揭阳,Today,0,0,0,0
92,中国,广东,清远,All,6,0,0,1
93,中国,广东,清远,Today,0,0,0,0
94,中国,广东,汕尾,All,5,0,0,0
95,中国,广东,汕尾,Today,1,0,0,0
96,中国,广东,韶关,All,5,0,0,0
97,中国,广东,韶关,Today,0,0,0,0
98,中国,广东,茂名,All,4,0,0,0
99,中国,广东,茂名,Today,1,0,0,0
100,中国,广东,江门,All,4,0,0,0
101,中国,广东,江门,Today,1,0,0,0
102,中国,广东,潮州,All,4,0,0,0
103,中国,广东,潮州,Today,0,0,0,0
104,中国,广东,河源,All,1,0,0,0
105,中国,广东,河源,Today,0,0,0,0
106,中国,广东,地区待确认,All,0,0,0,2
107,中国,广东,地区待确认,Today,0,0,0,2
108,中国,河南,,All,566,0,2,14
109,中国,河南,,Today,73,0,0,5
110,中国,河南,信阳,All,99,0,0,4
111,中国,河南,信阳,Today,11,0,0,0
112,中国,河南,南阳,All,84,0,2,1
113,中国,河南,南阳,Today,8,0,0,0
114,中国,河南,郑州,All,72,0,0,2
115,中国,河南,郑州,Today,7,0,0,1
116,中国,河南,驻马店,All,58,0,0,0
117,中国,河南,驻马店,Today,12,0,0,0
118,中国,河南,周口,All,47,0,0,1
119,中国,河南,周口,Today,7,0,0,0
120,中国,河南,商丘,All,41,0,0,0
121,中国,河南,商丘,Today,5,0,0,0
122,中国,河南,安阳,All,28,0,0,0
123,中国,河南,安阳,Today,4,0,0,0
124,中国,河南,新乡,All,25,0,0,0
125,中国,河南,新乡,Today,4,0,0,0
126,中国,河南,漯河,All,20,0,0,0
127,中国,河南,漯河,Today,4,0,0,0
128,中国,河南,平顶山,All,19,0,0,0
129,中国,河南,平顶山,Today,5,0,0,0
130,中国,河南,许昌,All,15,0,0,0
131,中国,河南,许昌,Today,2,0,0,0
132,中国,河南,开封,All,11,0,0,0
133,中国,河南,开封,Today,0,0,0,0
134,中国,河南,永城,All,9,0,0,0
135,中国,河南,永城,Today,1,0,0,0
136,中国,河南,鹤壁,All,8,0,0,0
137,中国,河南,鹤壁,Today,0,0,0,0
138,中国,河南,焦作,All,8,0,0,0
139,中国,河南,焦作,Today,1,0,0,0
140,中国,河南,洛阳,All,7,0,0,0
141,中国,河南,洛阳,Today,0,0,0,0
142,中国,河南,三门峡,All,7,0,0,0
143,中国,河南,三门峡,Today,0,0,0,0
144,中国,河南,濮阳,All,3,0,0,0
145,中国,河南,濮阳,Today,0,0,0,0
146,中国,河南,长垣,All,2,0,0,0
147,中国,河南,长垣,Today,0,0,0,0
148,中国,河南,济源示范区,All,2,0,0,0
149,中国,河南,济源示范区,Today,2,0,0,0
150,中国,河南,滑县,All,1,0,0,0
151,中国,河南,滑县,Today,0,0,0,0
152,中国,河南,地区待确认,All,0,0,0,6
153,中国,河南,地区待确认,Today,0,0,0,4
154,中国,湖南,,All,521,0,0,16
155,中国,湖南,,Today,58,0,0,0
156,中国,湖南,长沙,All,125,0,0,2
157,中国,湖南,长沙,Today,13,0,0,0
158,中国,湖南,岳阳,All,70,0,0,0
159,中国,湖南,岳阳,Today,17,0,0,0
160,中国,湖南,邵阳,All,51,0,0,1
161,中国,湖南,邵阳,Today,2,0,0,0
162,中国,湖南,常德,All,45,0,0,0
163,中国,湖南,常德,Today,3,0,0,0
164,中国,湖南,娄底,All,35,0,0,1
165,中国,湖南,娄底,Today,6,0,0,0
166,中国,湖南,怀化,All,32,0,0,1
167,中国,湖南,怀化,Today,1,0,0,0
168,中国,湖南,衡阳,All,32,0,0,3
169,中国,湖南,衡阳,Today,2,0,0,0
170,中国,湖南,益阳,All,30,0,0,0
171,中国,湖南,益阳,Today,3,0,0,0
172,中国,湖南,永州,All,26,0,0,2
173,中国,湖南,永州,Today,4,0,0,0
174,中国,湖南,株洲,All,26,0,0,1
175,中国,湖南,株洲,Today,1,0,0,0
176,中国,湖南,郴州,All,21,0,0,1
177,中国,湖南,郴州,Today,3,0,0,0
178,中国,湖南,湘潭,All,19,0,0,3
179,中国,湖南,湘潭,Today,3,0,0,0
180,中国,湖南,湘西自治州,All,6,0,0,1
181,中国,湖南,湘西自治州,Today,0,0,0,0
182,中国,湖南,张家界,All,3,0,0,0
183,中国,湖南,张家界,Today,0,0,0,0
184,中国,安徽,,All,408,0,0,8
185,中国,安徽,,Today,68,0,0,1
186,中国,安徽,合肥,All,75,0,0,3
187,中国,安徽,合肥,Today,16,0,0,1
188,中国,安徽,阜阳,All,65,0,0,0
189,中国,安徽,阜阳,Today,6,0,0,0
190,中国,安徽,安庆,All,47,0,0,0
191,中国,安徽,安庆,Today,4,0,0,0
192,中国,安徽,亳州,All,39,0,0,2
193,中国,安徽,亳州,Today,9,0,0,0
194,中国,安徽,蚌埠,All,37,0,0,0
195,中国,安徽,蚌埠,Today,11,0,0,0
196,中国,安徽,马鞍山,All,28,0,0,0
197,中国,安徽,马鞍山,Today,1,0,0,0
198,中国,安徽,宿州,All,21,0,0,0
199,中国,安徽,宿州,Today,7,0,0,0
200,中国,安徽,六安,All,20,0,0,1
201,中国,安徽,六安,Today,7,0,0,0
202,中国,安徽,铜陵,All,18,0,0,0
203,中国,安徽,铜陵,Today,2,0,0,0
204,中国,安徽,芜湖,All,16,0,0,1
205,中国,安徽,芜湖,Today,0,0,0,0
206,中国,安徽,黄山,All,9,0,0,0
207,中国,安徽,黄山,Today,0,0,0,0
208,中国,安徽,滁州,All,8,0,0,0
209,中国,安徽,滁州,Today,2,0,0,0
210,中国,安徽,淮北,All,8,0,0,0
211,中国,安徽,淮北,Today,2,0,0,0
212,中国,安徽,淮南,All,7,0,0,0
213,中国,安徽,淮南,Today,1,0,0,0
214,中国,安徽,池州,All,6,0,0,0
215,中国,安徽,池州,Today,0,0,0,0
216,中国,安徽,宣城,All,4,0,0,1
217,中国,安徽,宣城,Today,0,0,0,0
218,中国,江西,,All,391,0,0,18
219,中国,江西,,Today,59,0,0,6
220,中国,江西,南昌,All,103,0,0,4
221,中国,江西,南昌,Today,14,0,0,3
222,中国,江西,九江,All,64,0,0,2
223,中国,江西,九江,Today,9,0,0,0
224,中国,江西,新余,All,50,0,0,3
225,中国,江西,新余,Today,7,0,0,0
226,中国,江西,宜春,All,36,0,0,1
227,中国,江西,宜春,Today,5,0,0,0
228,中国,江西,赣州,All,35,0,0,1
229,中国,江西,赣州,Today,2,0,0,0
230,中国,江西,上饶,All,32,0,0,4
231,中国,江西,上饶,Today,13,0,0,3
232,中国,江西,抚州,All,29,0,0,0
233,中国,江西,抚州,Today,5,0,0,0
234,中国,江西,萍乡,All,18,0,0,1
235,中国,江西,萍乡,Today,3,0,0,0
236,中国,江西,吉安,All,13,0,0,1
237,中国,江西,吉安,Today,1,0,0,0
238,中国,江西,鹰潭,All,8,0,0,0
239,中国,江西,鹰潭,Today,0,0,0,0
240,中国,江西,景德镇,All,3,0,0,1
241,中国,江西,景德镇,Today,0,0,0,0
242,中国,重庆,,All,300,0,2,8
243,中国,重庆,,Today,25,0,1,1
244,中国,重庆,万州区,All,49,0,1,0
245,中国,重庆,万州区,Today,5,0,1,0
246,中国,重庆,云阳县,All,18,0,0,1
247,中国,重庆,云阳县,Today,0,0,0,0
248,中国,重庆,开州区,All,17,0,0,0
249,中国,重庆,开州区,Today,1,0,0,0
250,中国,重庆,江北区,All,16,0,0,0
251,中国,重庆,江北区,Today,3,0,0,0
252,中国,重庆,忠县,All,15,0,0,0
253,中国,重庆,忠县,Today,0,0,0,0
254,中国,重庆,九龙坡区,All,13,0,1,0
255,中国,重庆,九龙坡区,Today,2,0,0,0
256,中国,重庆,垫江县,All,12,0,0,1
257,中国,重庆,垫江县,Today,0,0,0,1
258,中国,重庆,渝北区,All,12,0,0,0
259,中国,重庆,渝北区,Today,0,0,0,0
260,中国,重庆,两江新区,All,12,0,0,0
261,中国,重庆,两江新区,Today,0,0,0,0
262,中国,重庆,长寿区,All,11,0,0,0
263,中国,重庆,长寿区,Today,0,0,0,0
264,中国,重庆,巫溪县,All,11,0,0,0
265,中国,重庆,巫溪县,Today,0,0,0,0
266,中国,重庆,石柱县,All,10,0,0,0
267,中国,重庆,石柱县,Today,0,0,0,0
268,中国,重庆,合川区,All,9,0,0,0
269,中国,重庆,合川区,Today,0,0,0,0
270,中国,重庆,渝中区,All,9,0,0,0
271,中国,重庆,渝中区,Today,0,0,0,0
272,中国,重庆,奉节县,All,9,0,0,0
273,中国,重庆,奉节县,Today,1,0,0,0
274,中国,重庆,璧山区,All,8,0,0,0
275,中国,重庆,璧山区,Today,0,0,0,0
276,中国,重庆,铜梁区,All,7,0,0,0
277,中国,重庆,铜梁区,Today,3,0,0,0
278,中国,重庆,巫山县,All,7,0,0,3
279,中国,重庆,巫山县,Today,1,0,0,0
280,中国,重庆,南岸区,All,6,0,0,0
281,中国,重庆,南岸区,Today,2,0,0,0
282,中国,重庆,大渡口区,All,6,0,0,0
283,中国,重庆,大渡口区,Today,0,0,0,0
284,中国,重庆,丰都县,All,5,0,0,1
285,中国,重庆,丰都县,Today,0,0,0,0
286,中国,重庆,大足区,All,5,0,0,0
287,中国,重庆,大足区,Today,1,0,0,0
288,中国,重庆,綦江区,All,5,0,0,0
289,中国,重庆,綦江区,Today,1,0,0,0
290,中国,重庆,荣昌区,All,4,0,0,0
291,中国,重庆,荣昌区,Today,1,0,0,0
292,中国,重庆,梁平区,All,3,0,0,0
293,中国,重庆,梁平区,Today,0,0,0,0
294,中国,重庆,江津区,All,3,0,0,0
295,中国,重庆,江津区,Today,0,0,0,0
296,中国,重庆,潼南区,All,3,0,0,0
297,中国,重庆,潼南区,Today,1,0,0,0
298,中国,重庆,永川区,All,3,0,0,1
299,中国,重庆,永川区,Today,0,0,0,0
300,中国,重庆,涪陵区,All,2,0,0,0
301,中国,重庆,涪陵区,Today,1,0,0,0
302,中国,重庆,巴南区,All,2,0,0,0
303,中国,重庆,巴南区,Today,1,0,0,0
304,中国,重庆,黔江区,All,2,0,0,0
305,中国,重庆,黔江区,Today,0,0,0,0
306,中国,重庆,沙坪坝区,All,2,0,0,0
307,中国,重庆,沙坪坝区,Today,0,0,0,0
308,中国,重庆,秀山县,All,1,0,0,1
309,中国,重庆,秀山县,Today,0,0,0,0
310,中国,重庆,城口县,All,1,0,0,0
311,中国,重庆,城口县,Today,0,0,0,0
312,中国,重庆,武隆区,All,1,0,0,0
313,中国,重庆,武隆区,Today,0,0,0,0
314,中国,重庆,高新区,All,1,0,0,0
315,中国,重庆,高新区,Today,1,0,0,0
316,中国,江苏,,All,271,0,0,7
317,中国,江苏,,Today,35,0,0,0
318,中国,江苏,苏州,All,44,0,0,3
319,中国,江苏,苏州,Today,6,0,0,0
320,中国,江苏,南京,All,40,0,0,2
321,中国,江苏,南京,Today,5,0,0,0
322,中国,江苏,徐州,All,36,0,0,0
323,中国,江苏,徐州,Today,6,0,0,0
324,中国,江苏,无锡,All,23,0,0,0
325,中国,江苏,无锡,Today,4,0,0,0
326,中国,江苏,泰州,All,21,0,0,0
327,中国,江苏,泰州,Today,4,0,0,0
328,中国,江苏,南通,All,19,0,0,0
329,中国,江苏,南通,Today,2,0,0,0
330,中国,江苏,淮安,All,18,0,0,1
331,中国,江苏,淮安,Today,5,0,0,0
332,中国,江苏,常州,All,15,0,0,0
333,中国,江苏,常州,Today,0,0,0,0
334,中国,江苏,盐城,All,15,0,0,0
335,中国,江苏,盐城,Today,0,0,0,0
336,中国,江苏,连云港,All,14,0,0,1
337,中国,江苏,连云港,Today,1,0,0,0
338,中国,江苏,扬州,All,14,0,0,0
339,中国,江苏,扬州,Today,1,0,0,0
340,中国,江苏,宿迁,All,9,0,0,0
341,中国,江苏,宿迁,Today,1,0,0,0
342,中国,江苏,镇江,All,3,0,0,0
343,中国,江苏,镇江,Today,0,0,0,0
344,中国,四川,,All,254,0,1,13
345,中国,四川,,Today,23,0,0,2
346,中国,四川,成都,All,77,0,1,9
347,中国,四川,成都,Today,4,0,0,0
348,中国,四川,南充,All,26,0,0,0
349,中国,四川,南充,Today,3,0,0,0
350,中国,四川,广安,All,21,0,0,1
351,中国,四川,广安,Today,1,0,0,0
352,中国,四川,绵阳,All,17,0,0,1
353,中国,四川,绵阳,Today,3,0,0,0
354,中国,四川,内江,All,12,0,0,0
355,中国,四川,内江,Today,1,0,0,0
356,中国,四川,巴中,All,12,0,0,0
357,中国,四川,巴中,Today,4,0,0,0
358,中国,四川,达州,All,11,0,0,0
359,中国,四川,达州,Today,2,0,0,0
360,中国,四川,德阳,All,10,0,0,0
361,中国,四川,德阳,Today,0,0,0,0
362,中国,四川,攀枝花,All,10,0,0,0
363,中国,四川,攀枝花,Today,1,0,0,0
364,中国,四川,自贡,All,9,0,0,0
365,中国,四川,自贡,Today,0,0,0,0
366,中国,四川,泸州,All,7,0,0,0
367,中国,四川,泸州,Today,1,0,0,0
368,中国,四川,宜宾,All,7,0,0,0
369,中国,四川,宜宾,Today,0,0,0,0
370,中国,四川,甘孜,All,6,0,0,0
371,中国,四川,甘孜,Today,1,0,0,0
372,中国,四川,凉山,All,6,0,0,0
373,中国,四川,凉山,Today,1,0,0,0
374,中国,四川,遂宁,All,5,0,0,1
375,中国,四川,遂宁,Today,0,0,0,1
376,中国,四川,雅安,All,5,0,0,0
377,中国,四川,雅安,Today,0,0,0,0
378,中国,四川,广元,All,5,0,0,0
379,中国,四川,广元,Today,0,0,0,0
380,中国,四川,眉山,All,3,0,0,0
381,中国,四川,眉山,Today,1,0,0,0
382,中国,四川,乐山,All,2,0,0,0
383,中国,四川,乐山,Today,0,0,0,0
384,中国,四川,资阳,All,2,0,0,0
385,中国,四川,资阳,Today,0,0,0,0
386,中国,四川,阿坝州,All,1,0,0,0
387,中国,四川,阿坝州,Today,0,0,0,0
388,中国,四川,地区待确认,All,0,0,0,1
389,中国,四川,地区待确认,Today,0,0,0,1
390,中国,山东,,All,246,0,0,6
391,中国,山东,,Today,16,0,0,1
392,中国,山东,青岛,All,25,0,0,1
393,中国,山东,青岛,Today,1,0,0,0
394,中国,山东,威海,All,25,0,0,2
395,中国,山东,威海,Today,1,0,0,0
396,中国,山东,临沂,All,24,0,0,0
397,中国,山东,临沂,Today,0,0,0,0
398,中国,山东,济南,All,22,0,0,0
399,中国,山东,济南,Today,3,0,0,0
400,中国,山东,烟台,All,22,0,0,0
401,中国,山东,烟台,Today,2,0,0,0
402,中国,山东,德州,All,19,0,0,1
403,中国,山东,德州,Today,0,0,0,0
404,中国,山东,济宁,All,18,0,0,1
405,中国,山东,济宁,Today,4,0,0,0
406,中国,山东,枣庄,All,15,0,0,0
407,中国,山东,枣庄,Today,0,0,0,0
408,中国,山东,潍坊,All,13,0,0,0
409,中国,山东,潍坊,Today,2,0,0,0
410,中国,山东,日照,All,12,0,0,0
411,中国,山东,日照,Today,1,0,0,0
412,中国,山东,淄博,All,12,0,0,0
413,中国,山东,淄博,Today,0,0,0,0
414,中国,山东,泰安,All,11,0,0,1
415,中国,山东,泰安,Today,2,0,0,1
416,中国,山东,滨州,All,10,0,0,0
417,中国,山东,滨州,Today,0,0,0,0
418,中国,山东,聊城,All,9,0,0,0
419,中国,山东,聊城,Today,0,0,0,0
420,中国,山东,菏泽,All,9,0,0,0
421,中国,山东,菏泽,Today,0,0,0,0
422,中国,上海,,All,203,0,1,10
423,中国,上海,,Today,21,0,0,0
424,中国,上海,外地来沪,All,79,0,0,5
425,中国,上海,外地来沪,Today,5,0,0,0
426,中国,上海,浦东,All,40,0,0,0
427,中国,上海,浦东,Today,5,0,0,0
428,中国,上海,闵行,All,10,0,0,0
429,中国,上海,闵行,Today,1,0,0,0
430,中国,上海,宝山,All,10,0,0,0
431,中国,上海,宝山,Today,2,0,0,0
432,中国,上海,静安,All,9,0,0,0
433,中国,上海,静安,Today,0,0,0,0
434,中国,上海,徐汇,All,9,0,0,0
435,中国,上海,徐汇,Today,2,0,0,0
436,中国,上海,长宁,All,8,0,0,0
437,中国,上海,长宁,Today,1,0,0,0
438,中国,上海,松江,All,7,0,0,0
439,中国,上海,松江,Today,0,0,0,0
440,中国,上海,普陀,All,6,0,0,0
441,中国,上海,普陀,Today,3,0,0,0
442,中国,上海,虹口,All,5,0,0,0
443,中国,上海,虹口,Today,0,0,0,0
444,中国,上海,奉贤,All,5,0,0,0
445,中国,上海,奉贤,Today,0,0,0,0
446,中国,上海,黄浦,All,5,0,0,0
447,中国,上海,黄浦,Today,0,0,0,0
448,中国,上海,杨浦,All,4,0,0,0
449,中国,上海,杨浦,Today,2,0,0,0
450,中国,上海,青浦,All,2,0,0,0
451,中国,上海,青浦,Today,0,0,0,0
452,中国,上海,嘉定,All,2,0,0,0
453,中国,上海,嘉定,Today,0,0,0,0
454,中国,上海,金山,All,1,0,0,0
455,中国,上海,金山,Today,0,0,0,0
456,中国,上海,崇明,All,1,0,0,0
457,中国,上海,崇明,Today,0,0,0,0
458,中国,上海,地区待确认,All,0,0,1,5
459,中国,上海,地区待确认,Today,0,0,0,0
460,中国,北京,,All,191,0,1,9
